"OP_UNIQUE_CARRIER","ARR_DELAY","DISTANCE"
"AA",-18.00,599.00
"AA",200.00,599.00
"AA",14.00,599.00
"AA",1.00,599.00
"AA",17.00,599.00
"AA",-10.00,599.00
"AA",-2.00,599.00
"AA",-19.00,599.00
"AA",-28.00,599.00
"AA",20.00,599.00
"AA",-10.00,599.00
"AA",-5.00,599.00
"AA",-11.00,599.00
"AA",-28.00,599.00
"AA",-17.00,599.00
"AA",-9.00,599.00
"AA",19.00,2296.00
"AA",-27.00,2296.00
"AA",30.00,2296.00
"AA",0.00,2296.00
"AA",22.00,2296.00
"AA",-3.00,2296.00
"AA",-24.00,2296.00
"AA",0.00,2296.00
"AA",-12.00,2296.00
"AA",274.00,2296.00
"AA",-21.00,2296.00
"AA",-9.00,2296.00
"AA",-23.00,2296.00
"AA",10.00,2296.00
"AA",-29.00,2296.00
"AA",0.00,2296.00
"AA",4.00,2296.00
"AA",-6.00,2296.00
"AA",2.00,2296.00
"AA",-14.00,2296.00
"AA",-21.00,2296.00
"AA",-4.00,2296.00
"AA",-13.00,2296.00
"AA",7.00,2296.00
"AA",-14.00,1192.00
"AA",-13.00,1192.00
"AA",-15.00,1192.00
"AA",17.00,1192.00
"AA",-22.00,1192.00
"AA",-32.00,1192.00
"AA",-20.00,1192.00
"AA",-19.00,1192.00
"AA",2.00,1192.00
"AA",17.00,1192.00
"AA",6.00,1192.00
"AA",-1.00,1192.00
"AA",-8.00,1192.00
"AA",-14.00,1192.00
"AA",-9.00,1558.00
"AA",8.00,1558.00
"AA",19.00,1558.00
"AA",,1558.00
"AA",-10.00,1558.00
"AA",2.00,1558.00
"AA",23.00,1558.00
"AA",-2.00,1047.00
"AA",42.00,1047.00
"AA",-23.00,1047.00
"AA",-5.00,1047.00
"AA",-10.00,1047.00
"AA",-7.00,1047.00
"AA",-23.00,1558.00
"AA",9.00,1558.00
"AA",8.00,1558.00
"AA",,1558.00
"AA",-15.00,1558.00
"AA",-14.00,1558.00
"AA",35.00,1558.00
"AA",-4.00,920.00
"AA",15.00,920.00
"AA",3.00,920.00
"AA",-6.00,920.00
"AA",16.00,920.00
"AA",0.00,920.00
"AA",-11.00,331.00
